business_id,name,rest_stars,review_count,postal_code,item,item_ave_star
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,sandwich,4.2
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,honey,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,fake meat,4.5
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,milkshake,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,udon noodle salad,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,roll,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,bread,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,jam,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,coffee,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,taco salad,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,rice,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,spices,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,buns,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,ginger,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,appetizer,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,dessert,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,curry tofu wrap,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,sweet potato fries,3.857142857142857
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,everything bagel,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,snack,5.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,butter,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,hash browns,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,waffle,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,pizza,4.5
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,crust,4.0
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,fries,3.875
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,curry tofu wrap,5.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,ginger,4.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,Falafel,4.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,butter,4.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,hash browns,4.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,pizza,4.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,waffle,4.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,fries,4.0
